Symbol,Date,Adjusted_price
CI,2015-10-30,135.22
CINF,2020-10-30,71.45
CINF,2020-09-30,78.75
CINF,2020-07-31,78.1
CINF,2020-04-30,65.31
CINF,2019-10-31,110.91
CINF,2017-10-31,64.81
CINF,2015-10-30,52.27
CTAS,2020-10-30,317.7
CTAS,2020-09-30,336.16
CTAS,2020-07-31,304.89
CTAS,2020-04-30,224.05
CTAS,2019-10-31,268.74
CTAS,2017-10-31,145.8
CTAS,2015-10-30,88.89
CSCO,2020-10-30,36.26
CSCO,2020-09-30,39.42
CSCO,2020-07-31,47.14
CSCO,2020-04-30,42.08
CSCO,2019-10-31,46.39
CSCO,2017-10-31,31.47
CSCO,2015-10-30,24.81
C,2020-10-30,41.83
C,2020-09-30,43.01
C,2020-07-31,49.89
C,2020-04-30,47.46
C,2019-10-31,69.27
C,2017-10-31,67.59
C,2015-10-30,47.95
CFG,2020-10-30,27.52
CFG,2020-09-30,25.18
CFG,2020-07-31,24.71
CFG,2020-04-30,21.96
CFG,2019-10-31,33.53
CFG,2017-10-31,34.07
CFG,2015-10-30,20.89
CTXS,2020-10-30,114.4
CTXS,2020-09-30,139.09
CTXS,2020-07-31,143.83
CTXS,2020-04-30,145.73
CTXS,2019-10-31,108.71
CTXS,2017-10-31,81.35
CTXS,2015-10-30,64.38
CLX,2020-10-30,208.25
CLX,2020-09-30,211.18
CLX,2020-07-31,237.64
CLX,2020-04-30,186.43
CLX,2019-10-31,145.89
CLX,2017-10-31,118.45
CLX,2015-10-30,108.54
CME,2020-10-30,152.23
CME,2020-09-30,168.98
CME,2020-07-31,166.98
CME,2020-04-30,178.29
CME,2019-10-31,201.77
CME,2017-10-31,126.03
CME,2015-10-30,78.31
CMS,2020-10-30,63.96
CMS,2020-09-30,62.02
CMS,2020-07-31,64.4
CMS,2020-04-30,56.85
CMS,2019-10-31,63.28
CMS,2017-10-31,44.87
CMS,2015-10-30,31.5
KO,2020-10-30,48.54
KO,2020-09-30,49.86
KO,2020-07-31,47.33
KO,2020-04-30,45.56
KO,2019-10-31,53.18
KO,2017-10-31,42.06
KO,2015-10-30,36.31
CTSH,2020-10-30,72.13
CTSH,2020-09-30,70.11
CTSH,2020-07-31,68.78
CTSH,2020-04-30,58.17
CTSH,2019-10-31,60.71
CTSH,2017-10-31,73.55
CTSH,2015-10-30,65.91
CL,2020-10-30,79.68
CL,2020-09-30,77.5
CL,2020-07-31,77.55
CL,2020-04-30,70.16
CL,2019-10-31,67.68
CL,2017-10-31,66.17
CL,2015-10-30,59.61
CMCSA,2020-10-30,42.66
CMCSA,2020-09-30,46.49
CMCSA,2020-07-31,43.02
CMCSA,2020-04-30,37.59
CMCSA,2019-10-31,44.28
CMCSA,2017-10-31,34.16
CMCSA,2015-10-30,28.7
CMA,2020-10-30,45.97
CMA,2020-09-30,38.63
CMA,2020-07-31,38.24
CMA,2020-04-30,33.98
CMA,2019-10-31,62.02
CMA,2017-10-31,70.67
CMA,2015-10-30,37.68
CAG,2020-10-30,35.44
CAG,2020-09-30,35.78
CAG,2020-07-31,37.32
CAG,2020-04-30,33.32
CAG,2019-10-31,26.61
CAG,2017-10-31,31.82
CAG,2015-10-30,28.09
CXO,2020-10-30,41.93
CXO,2020-09-30,44.56
CXO,2020-07-31,52.86
CXO,2020-04-30,56.87
CXO,2019-10-31,67.39
CXO,2017-10-31,133.39
CXO,2015-10-30,115.21
COP,2020-10-30,28.91
COP,2020-09-30,32.76
COP,2020-07-31,37.31
COP,2020-04-30,41.17
COP,2019-10-31,53.6
COP,2017-10-31,47.72
COP,2015-10-30,47.47
ED,2020-10-30,79.27
ED,2020-09-30,78.58
ED,2020-07-31,76.8
ED,2020-04-30,77.94
ED,2019-10-31,89.71
ED,2017-10-31,77.95
ED,2015-10-30,55.36
STZ,2020-10-30,166.88
STZ,2020-09-30,191.41
STZ,2020-07-31,179.19
STZ,2020-04-30,164.84
STZ,2019-10-31,189.06
STZ,2017-10-31,211.82
STZ,2015-10-30,127.71
COO,2020-10-30,322.24
COO,2020-09-30,340.49
COO,2020-07-31,285.76
COO,2020-04-30,289.54
COO,2019-10-31,293.86
COO,2017-10-31,242.51
COO,2015-10-30,153.68
CPRT,2020-10-30,111.46
CPRT,2020-09-30,106.21
CPRT,2020-07-31,94.18
CPRT,2020-04-30,80.91
CPRT,2019-10-31,83.47
CPRT,2017-10-31,36.65
CPRT,2015-10-30,18.28
GLW,2020-10-30,32.29
GLW,2020-09-30,32.73
GLW,2020-07-31,31.1
GLW,2020-04-30,21.88
GLW,2019-10-31,28.99
GLW,2017-10-31,29.18
GLW,2015-10-30,16.51
CTVA,2020-10-30,33.31
CTVA,2020-09-30,29.1
CTVA,2020-07-31,28.7
CTVA,2020-04-30,26.18
CTVA,2019-10-31,26.11
CTVA,2017-10-31,
CTVA,2015-10-30,
COST,2020-10-30,361.2
COST,2020-09-30,357.86
COST,2020-07-31,328.16
COST,2020-04-30,304.79
COST,2019-10-31,297.56
COST,2017-10-31,157.62
COST,2015-10-30,145.37
CCI,2020-10-30,157.76
CCI,2020-09-30,168.16
CCI,2020-07-31,167.09
CCI,2020-04-30,158.7
CCI,2019-10-31,135.86
CCI,2017-10-31,97.33
CCI,2015-10-30,71.72
CSX,2020-10-30,79.73
CSX,2020-09-30,78.45
CSX,2020-07-31,71.81
